price,tax,lot,space,age,sub
25.9,4.9176,3.472,0.998,42,0
29.5,5.0208,3.531,1.5,62,0
27.9,4.5429,2.275,1.175,40,1
25.9,4.5573,4.05,1.232,54,0
29.9,5.0597,4.455,1.121,42,1
29.9,3.891,4.455,0.988,56,1
30.9,5.898,5.85,1.24,51,0
28.9,5.6039,9.52,1.501,32,0
84.9,15.4202,9.8,3.42,42,1
82.9,14.4598,12.8,3,14,1
35.9,5.8282,6.435,1.225,32,1
31.5,5.3003,4.9883,1.552,30,1
31,6.2712,5.52,0.975,30,1
30.9,5.9592,6.666,1.121,32,0
30,5.05,5,1.02,46,0
28.9,5.6039,9.52,1.501,32,0
36.9,8.2464,5.15,1.664,50,0
41.9,6.6969,6.902,1.488,22,1
40.5,7.7841,7.102,1.376,17,1
43.9,9.0384,7.8,1.5,23,0
37.5,5.9894,5.52,1.256,40,1
37.9,7.5422,4,1.69,22,1
44.5,8.7951,9.89,1.82,50,0
37.9,6.0931,6.7265,1.652,44,1
38.9,8.3607,9.15,1.777,48,0
36.9,8.14,8,1.504,3,0
45.8,9.1416,7.3262,4.831,31,0
41,12,5,1.2,30,0
